Epoch | Accuracy | Precision | Recall | F1 Score
--------------------------------------------------
1     | 67.84% | 96.65% | 67.84% | 79.72%
2     | 11.38% | 90.32% | 11.38% | 20.22%
3     | 37.11% | 92.23% | 37.11% | 52.92%
4     | 38.68% | 98.95% | 38.68% | 55.62%
5     | 33.86% | 94.44% | 33.86% | 49.85%
6     | 25.20% | 96.92% | 25.20% | 40.00%
7     | 27.71% | 100.00% | 27.71% | 43.40%
8     | 29.02% | 100.00% | 29.02% | 44.98%
9     | 28.92% | 97.30% | 28.92% | 44.58%
10    | 59.13% | 99.33% | 59.13% | 74.13%
11    | 51.60% | 96.99% | 51.60% | 67.36%
12    | 32.95% | 97.70% | 32.95% | 49.28%
13    | 34.65% | 100.00% | 34.65% | 51.46%
14    | 65.60% | 98.20% | 65.60% | 78.66%
15    | 41.87% | 97.17% | 41.87% | 58.52%
16    | 34.27% | 98.84% | 34.27% | 50.90%
17    | 42.86% | 71.92% | 42.86% | 53.71%
18    | 30.68% | 92.77% | 30.68% | 46.11%
19    | 36.11% | 95.79% | 36.11% | 52.45%
20    | 65.49% | 98.82% | 65.49% | 78.77%
21    | 48.40% | 98.37% | 48.40% | 64.88%
22    | 57.98% | 98.03% | 57.98% | 72.86%
23    | 32.80% | 98.80% | 32.80% | 49.25%
24    | 32.02% | 98.78% | 32.02% | 48.36%
25    | 34.51% | 98.88% | 34.51% | 51.16%
26    | 49.60% | 96.85% | 49.60% | 65.60%
27    | 51.64% | 97.67% | 51.64% | 67.56%
28    | 33.85% | 100.00% | 33.85% | 50.58%
29    | 95.56% | 76.21% | 95.56% | 84.79%
30    | 55.56% | 97.22% | 55.56% | 70.71%
31    | 35.89% | 68.99% | 35.89% | 47.21%
32    | 52.89% | 99.22% | 52.89% | 69.00%
33    | 46.59% | 98.31% | 46.59% | 63.22%
34    | 64.37% | 95.78% | 64.37% | 77.00%
35    | 57.26% | 98.61% | 57.26% | 72.45%
36    | 18.68% | 100.00% | 18.68% | 31.48%
37    | 74.10% | 99.47% | 74.10% | 84.93%
38    | 92.74% | 100.00% | 92.74% | 96.23%
39    | 85.10% | 98.64% | 85.10% | 91.37%
40    | 74.31% | 100.00% | 74.31% | 85.26%
41    | 91.57% | 99.13% | 91.57% | 95.20%
42    | 35.57% | 100.00% | 35.57% | 52.48%
43    | 47.86% | 100.00% | 47.86% | 64.74%
44    | 93.36% | 96.98% | 93.36% | 95.14%
45    | 43.82% | 100.00% | 43.82% | 60.94%
46    | 56.69% | 99.31% | 56.69% | 72.18%
47    | 48.18% | 99.17% | 48.18% | 64.85%
48    | 57.96% | 100.00% | 57.96% | 73.39%
49    | 71.20% | 99.44% | 71.20% | 82.98%
50    | 35.83% | 97.73% | 35.83% | 52.44%
51    | 95.31% | 100.00% | 95.31% | 97.60%
52    | 69.02% | 99.44% | 69.02% | 81.48%
53    | 95.51% | 99.15% | 95.51% | 97.30%
54    | 57.81% | 100.00% | 57.81% | 73.27%
55    | 51.37% | 100.00% | 51.37% | 67.88%
56    | 55.08% | 100.00% | 55.08% | 71.03%
57    | 51.57% | 100.00% | 51.57% | 68.05%
58    | 57.03% | 100.00% | 57.03% | 72.64%
59    | 56.57% | 100.00% | 56.57% | 72.26%
60    | 73.02% | 99.46% | 73.02% | 84.21%
61    | 66.14% | 100.00% | 66.14% | 79.62%
62    | 94.40% | 100.00% | 94.40% | 97.12%
63    | 94.09% | 100.00% | 94.09% | 96.96%
64    | 97.52% | 99.58% | 97.52% | 98.54%
65    | 94.16% | 100.00% | 94.16% | 96.99%
66    | 93.73% | 99.58% | 93.73% | 96.57%
67    | 95.65% | 99.59% | 95.65% | 97.58%
68    | 95.31% | 100.00% | 95.31% | 97.60%
69    | 93.85% | 100.00% | 93.85% | 96.83%
70    | 96.81% | 100.00% | 96.81% | 98.38%
71    | 97.96% | 100.00% | 97.96% | 98.97%
72    | 94.14% | 100.00% | 94.14% | 96.98%
73    | 93.65% | 100.00% | 93.65% | 96.72%
74    | 96.81% | 100.00% | 96.81% | 98.38%
75    | 95.97% | 100.00% | 95.97% | 97.94%
76    | 95.97% | 100.00% | 95.97% | 97.94%
77    | 92.94% | 100.00% | 92.94% | 96.34%
78    | 97.12% | 100.00% | 97.12% | 98.54%
79    | 94.40% | 100.00% | 94.40% | 97.12%
80    | 93.65% | 100.00% | 93.65% | 96.72%
81    | 95.95% | 100.00% | 95.95% | 97.93%
82    | 95.20% | 100.00% | 95.20% | 97.54%
83    | 96.34% | 100.00% | 96.34% | 98.14%
84    | 96.31% | 100.00% | 96.31% | 98.12%
85    | 92.34% | 100.00% | 92.34% | 96.02%
86    | 96.41% | 100.00% | 96.41% | 98.17%
87    | 93.75% | 99.59% | 93.75% | 96.58%
88    | 95.98% | 100.00% | 95.98% | 97.95%
89    | 96.79% | 99.59% | 96.79% | 98.17%
90    | 94.42% | 99.58% | 94.42% | 96.93%
91    | 94.88% | 100.00% | 94.88% | 97.37%
92    | 92.61% | 100.00% | 92.61% | 96.16%
93    | 93.52% | 100.00% | 93.52% | 96.65%
94    | 96.37% | 100.00% | 96.37% | 98.15%
95    | 93.75% | 100.00% | 93.75% | 96.77%
96    | 93.03% | 100.00% | 93.03% | 96.39%
97    | 92.97% | 100.00% | 92.97% | 96.36%
98    | 96.77% | 99.59% | 96.77% | 98.16%
99    | 95.60% | 100.00% | 95.60% | 97.75%
100   | 94.86% | 100.00% | 94.86% | 97.36%
--------------------------------------------------
Avg   | 69.05% | 98.21% | 69.05% | 78.15%
