Epoch | Accuracy | Precision | Recall | F1 Score
--------------------------------------------------
1     | 96.00% | 96.77% | 96.00% | 96.39%
2     | 96.00% | 96.77% | 96.00% | 96.39%
3     | 95.14% | 94.76% | 95.14% | 94.95%
4     | 95.22% | 95.60% | 95.22% | 95.41%
5     | 97.89% | 93.55% | 97.89% | 95.67%
6     | 94.16% | 96.80% | 94.16% | 95.46%
7     | 95.26% | 94.14% | 95.26% | 94.70%
8     | 97.13% | 94.80% | 97.13% | 95.95%
9     | 95.60% | 95.98% | 95.60% | 95.79%
10    | 95.29% | 94.19% | 95.29% | 94.74%
11    | 95.20% | 95.97% | 95.20% | 95.58%
12    | 95.92% | 94.00% | 95.92% | 94.95%
13    | 98.34% | 94.80% | 98.34% | 96.54%
14    | 98.36% | 95.62% | 98.36% | 96.97%
15    | 96.00% | 96.00% | 96.00% | 96.00%
16    | 95.26% | 96.79% | 95.26% | 96.02%
17    | 96.40% | 96.40% | 96.40% | 96.40%
18    | 93.00% | 96.37% | 93.00% | 94.65%
19    | 94.51% | 97.18% | 94.51% | 95.83%
20    | 96.81% | 97.20% | 96.81% | 97.01%
21    | 96.33% | 94.40% | 96.33% | 95.35%
22    | 95.93% | 94.40% | 95.93% | 95.16%
23    | 95.20% | 95.97% | 95.20% | 95.58%
24    | 96.73% | 95.56% | 96.73% | 96.15%
25    | 93.80% | 97.58% | 93.80% | 95.65%
26    | 95.24% | 96.00% | 95.24% | 95.62%
27    | 95.16% | 95.16% | 95.16% | 95.16%
28    | 97.11% | 94.76% | 97.11% | 95.92%
29    | 94.96% | 97.61% | 94.96% | 96.27%
30    | 96.50% | 99.20% | 96.50% | 97.83%
31    | 94.33% | 93.57% | 94.33% | 93.95%
32    | 94.90% | 97.19% | 94.90% | 96.03%
33    | 97.91% | 93.60% | 97.91% | 95.71%
34    | 93.05% | 96.40% | 93.05% | 94.70%
35    | 97.20% | 97.59% | 97.20% | 97.39%
36    | 96.06% | 97.99% | 96.06% | 97.02%
37    | 94.88% | 96.40% | 94.88% | 95.63%
38    | 96.00% | 96.00% | 96.00% | 96.00%
39    | 96.31% | 94.00% | 96.31% | 95.14%
40    | 96.36% | 95.20% | 96.36% | 95.77%
41    | 95.28% | 96.41% | 95.28% | 95.84%
42    | 96.75% | 95.20% | 96.75% | 95.97%
43    | 95.70% | 98.00% | 95.70% | 96.84%
44    | 97.18% | 96.40% | 97.18% | 96.79%
45    | 95.26% | 96.40% | 95.26% | 95.83%
46    | 97.54% | 95.20% | 97.54% | 96.36%
47    | 97.97% | 96.02% | 97.97% | 96.98%
48    | 94.88% | 96.40% | 94.88% | 95.63%
49    | 95.87% | 92.80% | 95.87% | 94.31%
50    | 94.94% | 97.60% | 94.94% | 96.25%
51    | 96.37% | 95.60% | 96.37% | 95.98%
52    | 96.62% | 91.24% | 96.62% | 93.85%
53    | 95.26% | 96.40% | 95.26% | 95.83%
54    | 95.98% | 95.60% | 95.98% | 95.79%
55    | 96.68% | 93.57% | 96.68% | 95.10%
56    | 96.37% | 95.60% | 96.37% | 95.98%
57    | 93.02% | 96.00% | 93.02% | 94.49%
58    | 96.76% | 95.60% | 96.76% | 96.18%
59    | 95.31% | 97.21% | 95.31% | 96.25%
60    | 96.72% | 94.40% | 96.72% | 95.55%
61    | 95.93% | 94.40% | 95.93% | 95.16%
62    | 94.49% | 96.00% | 94.49% | 95.24%
63    | 95.29% | 97.20% | 95.29% | 96.24%
64    | 95.62% | 96.00% | 95.62% | 95.81%
65    | 95.63% | 96.40% | 95.63% | 96.02%
66    | 95.22% | 95.60% | 95.22% | 95.41%
67    | 95.58% | 95.20% | 95.58% | 95.39%
68    | 96.79% | 96.40% | 96.79% | 96.59%
69    | 96.40% | 96.40% | 96.40% | 96.40%
70    | 94.94% | 97.21% | 94.94% | 96.06%
71    | 94.53% | 96.41% | 94.53% | 95.46%
72    | 97.59% | 97.20% | 97.59% | 97.39%
73    | 95.92% | 94.00% | 95.92% | 94.95%
74    | 97.94% | 95.20% | 97.94% | 96.55%
75    | 94.86% | 96.00% | 94.86% | 95.43%
76    | 96.81% | 97.20% | 96.81% | 97.01%
77    | 96.34% | 94.80% | 96.34% | 95.56%
78    | 95.70% | 98.00% | 95.70% | 96.84%
79    | 97.91% | 93.60% | 97.91% | 95.71%
80    | 97.56% | 96.00% | 97.56% | 96.77%
81    | 94.12% | 96.00% | 94.12% | 95.05%
82    | 95.90% | 93.60% | 95.90% | 94.74%
83    | 97.56% | 96.00% | 97.56% | 96.77%
84    | 93.39% | 96.00% | 93.39% | 94.67%
85    | 97.13% | 94.80% | 97.13% | 95.95%
86    | 97.97% | 96.40% | 97.97% | 97.18%
87    | 93.33% | 95.20% | 93.33% | 94.26%
88    | 96.03% | 96.80% | 96.03% | 96.41%
89    | 95.20% | 95.20% | 95.20% | 95.20%
90    | 97.59% | 97.20% | 97.59% | 97.39%
91    | 95.42% | 91.60% | 95.42% | 93.47%
92    | 95.72% | 98.40% | 95.72% | 97.04%
93    | 97.15% | 95.60% | 97.15% | 96.37%
94    | 95.62% | 96.00% | 95.62% | 95.81%
95    | 95.72% | 98.40% | 95.72% | 97.04%
96    | 96.47% | 98.40% | 96.47% | 97.43%
97    | 95.92% | 94.00% | 95.92% | 94.95%
98    | 97.59% | 97.20% | 97.59% | 97.39%
99    | 94.80% | 94.80% | 94.80% | 94.80%
100   | 97.58% | 96.41% | 97.58% | 96.99%
--------------------------------------------------
Avg   | 95.93% | 95.81% | 95.93% | 95.86%
