Epoch | Accuracy | Precision | Recall | F1 Score
--------------------------------------------------
1     | 91.86% | 84.34% | 91.86% | 87.94%
2     | 97.58% | 42.16% | 97.58% | 58.88%
3     | 95.16% | 52.21% | 95.16% | 67.43%
4     | 96.12% | 51.56% | 96.12% | 67.12%
5     | 96.09% | 48.71% | 96.09% | 64.65%
6     | 97.99% | 43.96% | 97.99% | 60.70%
7     | 97.51% | 43.93% | 97.51% | 60.57%
8     | 97.59% | 36.00% | 97.59% | 52.60%
9     | 87.25% | 35.73% | 87.25% | 50.69%
10    | 98.02% | 42.66% | 98.02% | 59.45%
11    | 50.20% | 27.67% | 50.20% | 35.67%
12    | 68.60% | 29.12% | 68.60% | 40.89%
13    | 44.57% | 24.31% | 44.57% | 31.46%
14    | 61.20% | 37.59% | 61.20% | 46.58%
15    | 56.86% | 29.71% | 56.86% | 39.03%
16    | 68.72% | 32.81% | 68.72% | 44.41%
17    | 61.81% | 29.62% | 61.81% | 40.05%
18    | 48.00% | 23.17% | 48.00% | 31.25%
19    | 64.90% | 29.07% | 64.90% | 40.15%
20    | 62.50% | 33.55% | 62.50% | 43.66%
21    | 58.57% | 33.18% | 58.57% | 42.36%
22    | 42.51% | 24.36% | 42.51% | 30.97%
23    | 62.35% | 27.60% | 62.35% | 38.26%
24    | 61.51% | 26.96% | 61.51% | 37.48%
25    | 56.45% | 26.37% | 56.45% | 35.94%
26    | 64.78% | 31.31% | 64.78% | 42.22%
27    | 97.62% | 42.27% | 97.62% | 58.99%
28    | 97.57% | 37.83% | 97.57% | 54.52%
29    | 67.07% | 60.07% | 67.07% | 63.38%
30    | 58.85% | 33.49% | 58.85% | 42.69%
31    | 78.17% | 37.45% | 78.17% | 50.64%
32    | 96.44% | 45.44% | 96.44% | 61.77%
33    | 97.59% | 47.93% | 97.59% | 64.29%
34    | 97.94% | 52.54% | 97.94% | 68.39%
35    | 98.80% | 47.50% | 98.80% | 64.16%
36    | 98.37% | 42.46% | 98.37% | 59.31%
37    | 97.60% | 63.38% | 97.60% | 76.85%
38    | 97.99% | 66.12% | 97.99% | 78.96%
39    | 95.60% | 67.51% | 95.60% | 79.14%
40    | 96.76% | 65.12% | 96.76% | 77.85%
41    | 97.15% | 75.87% | 97.15% | 85.20%
42    | 97.58% | 51.16% | 97.58% | 67.13%
43    | 98.35% | 54.82% | 98.35% | 70.40%
44    | 97.98% | 71.05% | 97.98% | 82.37%
45    | 98.78% | 48.41% | 98.78% | 64.97%
46    | 97.62% | 55.66% | 97.62% | 70.89%
47    | 96.12% | 58.35% | 96.12% | 72.62%
48    | 98.84% | 61.24% | 98.84% | 75.63%
49    | 96.86% | 68.80% | 96.86% | 80.46%
50    | 98.41% | 51.89% | 98.41% | 67.95%
51    | 99.18% | 75.23% | 99.18% | 85.56%
52    | 95.75% | 72.51% | 95.75% | 82.53%
53    | 97.99% | 82.99% | 97.99% | 89.87%
54    | 94.84% | 58.44% | 94.84% | 72.31%
55    | 94.98% | 56.42% | 94.98% | 70.79%
56    | 96.77% | 60.91% | 96.77% | 74.77%
57    | 96.77% | 56.47% | 96.77% | 71.32%
58    | 98.34% | 60.61% | 98.34% | 75.00%
59    | 98.80% | 56.11% | 98.80% | 71.57%
60    | 96.83% | 68.54% | 96.83% | 80.26%
61    | 97.20% | 60.90% | 97.20% | 74.88%
62    | 97.67% | 82.84% | 97.67% | 89.64%
63    | 97.63% | 84.88% | 97.63% | 90.81%
64    | 98.03% | 84.12% | 98.03% | 90.55%
65    | 99.19% | 85.31% | 99.19% | 91.73%
66    | 96.36% | 88.81% | 96.36% | 92.43%
67    | 96.39% | 87.59% | 96.39% | 91.78%
68    | 97.99% | 82.15% | 97.99% | 89.38%
69    | 96.46% | 83.62% | 96.46% | 89.58%
70    | 99.19% | 88.49% | 99.19% | 93.54%
71    | 97.61% | 85.07% | 97.61% | 90.91%
72    | 99.17% | 86.33% | 99.17% | 92.31%
73    | 95.93% | 86.45% | 95.93% | 90.94%
74    | 96.83% | 79.74% | 96.83% | 87.46%
75    | 97.97% | 85.46% | 97.97% | 91.29%
76    | 98.36% | 80.54% | 98.36% | 88.56%
77    | 94.80% | 77.70% | 94.80% | 85.41%
78    | 97.22% | 84.78% | 97.22% | 90.57%
79    | 97.63% | 91.14% | 97.63% | 94.27%
80    | 98.41% | 88.21% | 98.41% | 93.03%
81    | 96.06% | 90.04% | 96.06% | 92.95%
82    | 96.80% | 88.64% | 96.80% | 92.54%
83    | 98.02% | 89.21% | 98.02% | 93.41%
84    | 96.86% | 88.21% | 96.86% | 92.34%
85    | 97.61% | 89.09% | 97.61% | 93.16%
86    | 96.40% | 89.93% | 96.40% | 93.05%
87    | 96.64% | 88.80% | 96.64% | 92.56%
88    | 98.00% | 86.57% | 98.00% | 91.93%
89    | 97.98% | 89.96% | 97.98% | 93.80%
90    | 97.98% | 90.33% | 97.98% | 94.00%
91    | 94.96% | 89.09% | 94.96% | 91.93%
92    | 96.31% | 86.72% | 96.31% | 91.26%
93    | 95.62% | 87.91% | 95.62% | 91.60%
94    | 96.03% | 88.32% | 96.03% | 92.02%
95    | 96.81% | 90.00% | 96.81% | 93.28%
96    | 98.02% | 88.26% | 98.02% | 92.88%
97    | 95.45% | 88.11% | 95.45% | 91.64%
98    | 99.18% | 92.37% | 99.18% | 95.65%
99    | 95.20% | 89.14% | 95.20% | 92.07%
100   | 96.81% | 90.67% | 96.81% | 93.64%
--------------------------------------------------
Avg   | 90.00% | 63.58% | 90.00% | 73.18%
