Epoch | Accuracy | Precision | Recall | F1 Score
--------------------------------------------------
1     | 59.91% | 69.15% | 59.91% | 64.20%
2     | 0.00% | 0.00% | 0.00% | 0.00%
3     | 0.00% | 0.00% | 0.00% | 0.00%
4     | 0.00% | 0.00% | 0.00% | 0.00%
5     | 0.80% | 15.38% | 0.80% | 1.52%
6     | 0.00% | 0.00% | 0.00% | 0.00%
7     | 0.40% | 5.26% | 0.40% | 0.74%
8     | 0.00% | 0.00% | 0.00% | 0.00%
9     | 0.00% | 0.00% | 0.00% | 0.00%
10    | 0.00% | 0.00% | 0.00% | 0.00%
11    | 0.00% | 0.00% | 0.00% | 0.00%
12    | 0.00% | 0.00% | 0.00% | 0.00%
13    | 0.00% | 0.00% | 0.00% | 0.00%
14    | 0.41% | 100.00% | 0.41% | 0.81%
15    | 0.00% | 0.00% | 0.00% | 0.00%
16    | 0.00% | 0.00% | 0.00% | 0.00%
17    | 0.00% | 0.00% | 0.00% | 0.00%
18    | 0.00% | 0.00% | 0.00% | 0.00%
19    | 0.00% | 0.00% | 0.00% | 0.00%
20    | 0.00% | 0.00% | 0.00% | 0.00%
21    | 0.81% | 28.57% | 0.81% | 1.57%
22    | 0.00% | 0.00% | 0.00% | 0.00%
23    | 0.00% | 0.00% | 0.00% | 0.00%
24    | 0.00% | 0.00% | 0.00% | 0.00%
25    | 0.00% | 0.00% | 0.00% | 0.00%
26    | 0.00% | 0.00% | 0.00% | 0.00%
27    | 0.00% | 0.00% | 0.00% | 0.00%
28    | 0.39% | 25.00% | 0.39% | 0.76%
29    | 0.00% | 0.00% | 0.00% | 0.00%
30    | 0.00% | 0.00% | 0.00% | 0.00%
31    | 0.80% | 40.00% | 0.80% | 1.57%
32    | 0.40% | 20.00% | 0.40% | 0.78%
33    | 0.00% | 0.00% | 0.00% | 0.00%
34    | 0.00% | 0.00% | 0.00% | 0.00%
35    | 0.00% | 0.00% | 0.00% | 0.00%
36    | 0.00% | 0.00% | 0.00% | 0.00%
37    | 0.00% | 0.00% | 0.00% | 0.00%
38    | 0.00% | 0.00% | 0.00% | 0.00%
39    | 0.00% | 0.00% | 0.00% | 0.00%
40    | 52.19% | 98.50% | 52.19% | 68.23%
41    | 0.40% | 50.00% | 0.40% | 0.79%
42    | 37.75% | 97.92% | 37.75% | 54.49%
43    | 14.75% | 100.00% | 14.75% | 25.71%
44    | 10.28% | 92.86% | 10.28% | 18.51%
45    | 32.67% | 98.80% | 32.67% | 49.10%
46    | 0.40% | 20.00% | 0.40% | 0.79%
47    | 0.00% | 0.00% | 0.00% | 0.00%
48    | 2.45% | 75.00% | 2.45% | 4.74%
49    | 12.00% | 93.75% | 12.00% | 21.28%
50    | 0.40% | 33.33% | 0.40% | 0.79%
51    | 9.60% | 96.00% | 9.60% | 17.45%
52    | 20.66% | 94.34% | 20.66% | 33.90%
53    | 0.78% | 66.67% | 0.78% | 1.53%
54    | 0.41% | 33.33% | 0.41% | 0.81%
55    | 13.10% | 86.84% | 13.10% | 22.76%
56    | 1.22% | 60.00% | 1.22% | 2.39%
57    | 10.13% | 85.71% | 10.13% | 18.11%
58    | 6.25% | 88.89% | 6.25% | 11.68%
59    | 0.00% | 0.00% | 0.00% | 0.00%
60    | 2.40% | 66.67% | 2.40% | 4.63%
61    | 7.23% | 78.26% | 7.23% | 13.24%
62    | 17.60% | 97.78% | 17.60% | 29.83%
63    | 11.74% | 87.88% | 11.74% | 20.71%
64    | 37.60% | 95.92% | 37.60% | 54.02%
65    | 64.49% | 98.14% | 64.49% | 77.83%
66    | 53.15% | 97.12% | 53.15% | 68.70%
67    | 53.12% | 99.27% | 53.12% | 69.21%
68    | 28.92% | 98.63% | 28.92% | 44.72%
69    | 66.13% | 95.91% | 66.13% | 78.28%
70    | 70.78% | 98.29% | 70.78% | 82.30%
71    | 58.17% | 97.99% | 58.17% | 73.00%
72    | 35.43% | 96.77% | 35.43% | 51.87%
73    | 66.27% | 94.89% | 66.27% | 78.04%
74    | 7.91% | 90.91% | 7.91% | 14.55%
75    | 57.03% | 97.99% | 57.03% | 72.10%
76    | 5.58% | 87.50% | 5.58% | 10.49%
77    | 15.87% | 81.63% | 15.87% | 26.58%
78    | 24.90% | 92.42% | 24.90% | 39.23%
79    | 28.12% | 96.00% | 28.12% | 43.50%
80    | 45.20% | 97.41% | 45.20% | 61.75%
81    | 45.31% | 94.07% | 45.31% | 61.16%
82    | 27.67% | 97.22% | 27.67% | 43.08%
83    | 42.68% | 98.13% | 42.68% | 59.49%
84    | 56.28% | 97.89% | 56.28% | 71.47%
85    | 32.79% | 96.43% | 32.79% | 48.94%
86    | 39.60% | 97.06% | 39.60% | 56.25%
87    | 55.73% | 97.92% | 55.73% | 71.03%
88    | 39.09% | 95.96% | 39.09% | 55.56%
89    | 35.86% | 97.83% | 35.86% | 52.48%
90    | 43.15% | 96.40% | 43.15% | 59.61%
91    | 35.48% | 96.70% | 35.48% | 51.92%
92    | 42.62% | 96.30% | 42.62% | 59.09%
93    | 35.20% | 93.62% | 35.20% | 51.16%
94    | 39.60% | 96.12% | 39.60% | 56.09%
95    | 46.77% | 97.48% | 46.77% | 63.22%
96    | 38.21% | 91.26% | 38.21% | 53.87%
97    | 43.80% | 97.25% | 43.80% | 60.40%
98    | 42.64% | 96.49% | 42.64% | 59.14%
99    | 34.51% | 97.78% | 34.51% | 51.01%
100   | 32.03% | 97.62% | 32.03% | 48.24%
--------------------------------------------------
Avg   | 18.56% | 55.52% | 18.56% | 25.73%
