Epoch | Accuracy | Precision | Recall | F1 Score
--------------------------------------------------
1     | 95.29% | 71.26% | 95.29% | 81.54%
2     | 96.80% | 61.89% | 96.80% | 75.51%
3     | 97.17% | 53.69% | 97.17% | 69.16%
4     | 96.83% | 60.10% | 96.83% | 74.16%
5     | 95.69% | 61.93% | 95.69% | 75.19%
6     | 97.21% | 66.30% | 97.21% | 78.84%
7     | 94.90% | 65.23% | 94.90% | 77.32%
8     | 94.49% | 95.62% | 94.49% | 95.05%
9     | 96.03% | 77.07% | 96.03% | 85.51%
10    | 91.80% | 85.17% | 91.80% | 88.36%
11    | 98.77% | 58.78% | 98.77% | 73.70%
12    | 94.51% | 70.26% | 94.51% | 80.60%
13    | 97.20% | 57.31% | 97.20% | 72.11%
14    | 95.00% | 58.25% | 95.00% | 72.22%
15    | 96.84% | 60.34% | 96.84% | 74.36%
16    | 95.62% | 59.26% | 95.62% | 73.17%
17    | 95.58% | 73.46% | 95.58% | 83.07%
18    | 97.18% | 60.10% | 97.18% | 74.27%
19    | 97.20% | 67.50% | 97.20% | 79.67%
20    | 96.00% | 65.04% | 96.00% | 77.54%
21    | 96.09% | 57.61% | 96.09% | 72.04%
22    | 94.19% | 59.12% | 94.19% | 72.65%
23    | 97.18% | 67.13% | 97.18% | 79.41%
24    | 95.62% | 69.77% | 95.62% | 80.67%
25    | 97.93% | 62.11% | 97.93% | 76.01%
26    | 96.77% | 66.30% | 96.77% | 78.69%
27    | 95.28% | 84.62% | 95.28% | 89.63%
28    | 96.73% | 86.50% | 96.73% | 91.33%
29    | 97.96% | 58.54% | 97.96% | 73.28%
30    | 99.18% | 56.64% | 99.18% | 72.11%
31    | 94.47% | 70.09% | 94.47% | 80.47%
32    | 94.74% | 70.91% | 94.74% | 81.11%
33    | 96.12% | 66.31% | 96.12% | 78.48%
34    | 95.97% | 63.64% | 95.97% | 76.53%
35    | 96.09% | 73.65% | 96.09% | 83.39%
36    | 97.92% | 61.52% | 97.92% | 75.56%
37    | 95.67% | 56.78% | 95.67% | 71.26%
38    | 98.39% | 61.10% | 98.39% | 75.38%
39    | 96.79% | 56.57% | 96.79% | 71.41%
40    | 96.03% | 77.56% | 96.03% | 85.82%
41    | 97.61% | 54.20% | 97.61% | 69.70%
42    | 95.67% | 71.26% | 95.67% | 81.68%
43    | 96.40% | 59.51% | 96.40% | 73.59%
44    | 93.85% | 61.31% | 93.85% | 74.16%
45    | 93.98% | 76.72% | 93.98% | 84.48%
46    | 93.68% | 58.09% | 93.68% | 71.71%
47    | 96.77% | 53.22% | 96.77% | 68.67%
48    | 94.33% | 53.94% | 94.33% | 68.63%
49    | 94.86% | 55.81% | 94.86% | 70.28%
50    | 95.26% | 55.66% | 95.26% | 70.26%
51    | 97.61% | 60.05% | 97.61% | 74.36%
52    | 94.16% | 56.67% | 94.16% | 70.76%
53    | 98.78% | 51.82% | 98.78% | 67.98%
54    | 97.20% | 55.23% | 97.20% | 70.43%
55    | 97.12% | 59.60% | 97.12% | 73.87%
56    | 96.03% | 52.61% | 96.03% | 67.98%
57    | 95.26% | 57.93% | 95.26% | 72.05%
58    | 97.60% | 54.83% | 97.60% | 70.22%
59    | 95.16% | 57.56% | 95.16% | 71.73%
60    | 95.63% | 53.56% | 95.63% | 68.66%
61    | 96.02% | 58.78% | 96.02% | 72.92%
62    | 95.82% | 55.05% | 95.82% | 69.92%
63    | 97.93% | 54.00% | 97.93% | 69.62%
64    | 96.05% | 65.85% | 96.05% | 78.14%
65    | 96.80% | 77.81% | 96.80% | 86.27%
66    | 98.35% | 67.71% | 98.35% | 80.20%
67    | 97.12% | 68.21% | 97.12% | 80.14%
68    | 96.76% | 61.92% | 96.76% | 75.51%
69    | 94.09% | 77.85% | 94.09% | 85.20%
70    | 96.41% | 79.87% | 96.41% | 87.36%
71    | 95.55% | 73.29% | 95.55% | 82.95%
72    | 96.39% | 61.86% | 96.39% | 75.35%
73    | 94.12% | 76.19% | 94.12% | 84.21%
74    | 95.62% | 55.94% | 95.62% | 70.59%
75    | 96.76% | 72.21% | 96.76% | 82.70%
76    | 95.70% | 54.69% | 95.70% | 69.60%
77    | 97.98% | 59.17% | 97.98% | 73.78%
78    | 96.46% | 59.90% | 96.46% | 73.91%
79    | 96.43% | 58.13% | 96.43% | 72.54%
80    | 95.22% | 64.95% | 95.22% | 77.22%
81    | 96.79% | 64.44% | 96.79% | 77.37%
82    | 96.05% | 58.27% | 96.05% | 72.54%
83    | 93.82% | 64.29% | 93.82% | 76.30%
84    | 97.17% | 69.97% | 97.17% | 81.36%
85    | 95.95% | 59.25% | 95.95% | 73.26%
86    | 96.84% | 63.14% | 96.84% | 76.44%
87    | 96.37% | 67.13% | 96.37% | 79.14%
88    | 96.09% | 64.91% | 96.09% | 77.48%
89    | 96.05% | 61.21% | 96.05% | 74.77%
90    | 96.46% | 64.14% | 96.46% | 77.04%
91    | 95.60% | 60.81% | 95.60% | 74.34%
92    | 97.18% | 62.92% | 97.18% | 76.39%
93    | 94.92% | 60.45% | 94.92% | 73.86%
94    | 96.79% | 62.76% | 96.79% | 76.15%
95    | 98.74% | 63.34% | 98.74% | 77.18%
96    | 95.24% | 61.70% | 95.24% | 74.88%
97    | 95.88% | 63.49% | 95.88% | 76.39%
98    | 95.62% | 62.66% | 95.62% | 75.71%
99    | 96.73% | 58.66% | 96.73% | 73.04%
100   | 98.76% | 58.72% | 98.76% | 73.65%
--------------------------------------------------
Avg   | 96.19% | 63.70% | 96.19% | 76.33%
